"priority","namespace","key","english","current_tamil","appears_on","flag","CORRECTED_TAMIL","REVIEWER_NOTES"
"0-LEGAL-PRO","legal","guidelinesBody","Uthavu exists so real help reaches real people quickly. A few simple rules keep that working:

• Post only genuine requests for help — animal rescue, medical help, food donation, roadside help, elderly support, blood donation, community help, or lost & found.
• Don't post spam, advertising, or requests unrelated to getting or giving help.
• Be honest in comments and messages — false or misleading information can put someone's safety at risk.
• Respect other members' privacy — don't share someone else's phone number or personal details without their consent.
• If a comment looks like spam, abuse, or false information, flag it — our team reviews every flagged comment.

We don't use star ratings on Uthavu. A volunteer's trustworthiness is built from real, verified completion history — not a number anyone can be unfairly judged by.","Uthavu exists so real help reaches real people quickly. A few simple rules keep that working:

• Post only genuine requests for help — animal rescue, medical help, food donation, roadside help, elderly support, blood donation, community help, or lost & found.
• Don't post spam, advertising, or requests unrelated to getting or giving help.
• Be honest in comments and messages — false or misleading information can put someone's safety at risk.
• Respect other members' privacy — don't share someone else's phone number or personal details without their consent.
• If a comment looks like spam, abuse, or false information, flag it — our team reviews every flagged comment.

We don't use star ratings on Uthavu. A volunteer's trustworthiness is built from real, verified completion history — not a number anyone can be unfairly judged by.","(not found — may be built dynamically)","UNTRANSLATED — needs attention","",""
"0-LEGAL-PRO","legal","privacyBody","We collect only what Uthavu actually needs to work: your phone number (to sign you in via OTP), your name and an optional profile photo, your location (to show you nearby help requests and let others find yours), and the reports and messages you create.

Email is never required anywhere in the app — it's an optional, private profile field only used for future account recovery, and never shown to other users.

Your phone number is only ever shown to another user if you explicitly choose to share it on a specific report. You can also post a report anonymously, hiding your name from everyone except the volunteers who join to help.

We don't sell your data, and we don't run a rating or scoring system on you — trust on Uthavu comes from verification and your real completion history, not a public score.

You can delete your account at any time from Settings — this permanently removes your reports, missions, messages, and profile data.","We collect only what Uthavu actually needs to work: your phone number (to sign you in via OTP), your name and an optional profile photo, your location (to show you nearby help requests and let others find yours), and the reports and messages you create.

Email is never required anywhere in the app — it's an optional, private profile field only used for future account recovery, and never shown to other users.

Your phone number is only ever shown to another user if you explicitly choose to share it on a specific report. You can also post a report anonymously, hiding your name from everyone except the volunteers who join to help.

We don't sell your data, and we don't run a rating or scoring system on you — trust on Uthavu comes from verification and your real completion history, not a public score.

You can delete your account at any time from Settings — this permanently removes your reports, missions, messages, and profile data.","(not found — may be built dynamically)","UNTRANSLATED — needs attention","",""
"0-LEGAL-PRO","legal","termsBody","உதவு (Uthavu) is a community help network for Tamil Nadu — it connects people who need help with nearby volunteers, in real time.

By using Uthavu you agree to: post help requests honestly, respond to requests you can genuinely help with, and treat other members with respect. Uthavu never charges you and no money ever changes hands between users through the app — sponsors and ads are the only revenue, and neither ever touches your reports or missions.

You're responsible for the accuracy of what you post. Reports that turn out to be false, abusive, or spam can be removed, and repeated misuse can lead to your account being suspended.

Uthavu is built and run by a small team, not a large company. These terms may change as the product grows — we'll keep this page up to date when they do.","உதவு (Uthavu) is a community help network for Tamil Nadu — it connects people who need help with nearby volunteers, in real time.

By using Uthavu you agree to: post help requests honestly, respond to requests you can genuinely help with, and treat other members with respect. Uthavu never charges you and no money ever changes hands between users through the app — sponsors and ads are the only revenue, and neither ever touches your reports or missions.

You're responsible for the accuracy of what you post. Reports that turn out to be false, abusive, or spam can be removed, and repeated misuse can lead to your account being suspended.

Uthavu is built and run by a small team, not a large company. These terms may change as the product grows — we'll keep this page up to date when they do.","(not found — may be built dynamically)","UNTRANSLATED — needs attention","",""
"1-SAFETY","auth","accountSuspendedError","This account has been suspended. Contact support if you believe this is a mistake.","இந்தக் கணக்கு இடைநிறுத்தப்பட்டுள்ளது. இது தவறு என நீங்கள் கருதினால் ஆதரவைத் தொடர்பு கொள்ளவும்.","OtpScreen, RootNavigator","","",""
"1-SAFETY","auth","accountSuspendedTitle","Account suspended","கணக்கு இடைநிறுத்தப்பட்டது","RootNavigator","","",""
"1-SAFETY","auth","cameraPermissionNeeded","Permission needed to access your camera.","உங்கள் கேமராவை அணுக அனுமதி தேவை.","ProfileSetupScreen","","",""
"1-SAFETY","auth","locationAccessSubtitle","Required to discover emergency help near you.","உங்களுக்கு அருகில் உள்ள அவசர உதவியைக் கண்டறிய தேவை.","PermissionsScreen","","",""
"1-SAFETY","auth","locationNeededAlertMessage","Uthavu needs your location to show help requests near you. Enable it in Settings to continue.","உங்களுக்கு அருகிலுள்ள உதவி கோரிக்கைகளைக் காட்ட உதவுவிற்கு உங்கள் இருப்பிடம் தேவை. தொடர அமைப்புகளில் அதை இயக்கவும்.","PermissionsScreen","","",""
"1-SAFETY","auth","otpExpiredError","OTP expired. Request a new one.","OTP காலாவதியானது. புதிய ஒன்றைக் கோரவும்.","OtpScreen","","",""
"1-SAFETY","auth","otpSubtitleSentTo","Enter the 6-digit code sent to {{phone}}.","{{phone}} க்கு அனுப்பப்பட்ட 6 இலக்க குறியீட்டை உள்ளிடவும்.","OtpScreen","","",""
"1-SAFETY","auth","permissionsSubtitle","Enable permissions to view nearby emergency help requests and get alerted when someone needs you.","அருகிலுள்ள அவசர உதவி கோரிக்கைகளைப் பார்க்கவும், உங்களுக்கு ஒருவருக்கு உதவி தேவைப்படும்போது அறிவிப்பு பெறவும் அனுமதிகளை இயக்கவும்.","PermissionsScreen","","",""
"1-SAFETY","auth","permissionsTitle","App Permissions","செயலி அனுமதிகள்","PermissionsScreen","","",""
"1-SAFETY","auth","phoneNumberLabel","Phone number","தொலைபேசி எண்","LoginScreen","","",""
"1-SAFETY","auth","phoneNumberPlaceholder","Phone number","தொலைபேசி எண்","LoginScreen","","",""
"1-SAFETY","auth","photosPermissionNeeded","Permission needed to access your photos.","உங்கள் புகைப்படங்களை அணுக அனுமதி தேவை.","ProfileSetupScreen, SubmitTicketScreen","","",""
